Pin Designator,Net Name
1,ctrl_valid_i
2,VSS
3,ctrl_ready_o
4,VSS
5,ctrl_i_segment[95]
6,VSS
7,ctrl_i_segment[94]
8,VSS
9,ctrl_i_segment[93]
10,VSS
11,ctrl_i_segment[92]
12,VSS
13,ctrl_i_segment[91]
14,VSS
15,ctrl_i_segment[90]
16,VSS
17,ctrl_i_segment[89]
18,VSS
19,ctrl_i_segment[88]
20,VSS
21,ctrl_i_segment[87]
22,VSS
23,ctrl_i_segment[86]
24,VSS
25,ctrl_i_segment[85]
26,VSS
27,ctrl_i_segment[84]
28,VSS
29,ctrl_i_segment[83]
30,RESERVED
31,ctrl_i_segment[82]
32,VSS
33,RESERVED
34,VSS
35,REP_SEL[5]
36,VSS
37,REP_SEL[4]
38,VSS
39,REP_SEL[3]
40,VSS
41,REP_SEL[2]
42,VSS
43,REP_SEL[1]
44,VSS
45,REP_SEL[0]
46,VSS
47,rst_n
48,VSS
49,rst_ni
50,VSS
51,ctrl_i_segment[81]
52,VSS
53,ctrl_i_segment[80]
54,VSS
55,ctrl_i_segment[79]
56,VSS
57,ctrl_i_segment[78]
58,VSS
59,ctrl_i_segment[77]
60,RESERVED
61,ctrl_i_segment[76]
62,VSS
63,ctrl_i_segment[75]
64,VSS
65,ctrl_i_segment[74]
66,VSS
67,RESERVED
68,VSS
