Pin Designator,Net Name
1,bank0_err_retry_exhausted[29]
2,VSS
3,bank0_err_retry_exhausted[28]
4,VSS
5,bank0_err_retry_exhausted[27]
6,VSS
7,bank0_err_retry_exhausted[26]
8,VSS
9,bank0_err_retry_exhausted[24]
10,VSS
11,bank0_err_retry_exhausted[23]
12,VSS
13,bank0_err_retry_exhausted[22]
14,VSS
15,bank0_err_retry_exhausted[21]
16,VSS
17,bank0_err_retry_exhausted[20]
18,VSS
19,bank0_err_retry_exhausted[19]
20,VSS
21,bank0_err_retry_exhausted[18]
22,VSS
23,
24,VSS
25,bank0_err_retry_exhausted[17]
26,VSS
27,clk
28,VSS
29,bank0_addr[4]
30,RESERVED
31,bank0_addr[5]
32,VSS
33,RESERVED
34,VSS
35,bank0_err_retry_exhausted[30]
36,VSS
37,bank0_err_retry_exhausted[25]
38,VSS
39,bank0_err_retry_exhausted[31]
40,VSS
41,bank0_addr[0]
42,VSS
43,bank0_addr[1]
44,VSS
45,bank0_addr[2]
46,VSS
47,bank0_addr[3]
48,VSS
49,clk_i
50,VSS
51,bank0_addr[9]
52,VSS
53,bank0_init_en
54,VSS
55,bank0_addr[10]
56,VSS
57,bank0_addr[11]
58,VSS
59,bank0_addr[8]
60,RESERVED
61,bank0_addr[6]
62,VSS
63,bank0_err_retry_exhausted[16]
64,VSS
65,bank0_addr[7]
66,VSS
67,RESERVED
68,VSS
