,,,,,,,
,All Input Sources,,,,,,
,Source,DIO,VHDCI,DIO Input Net (VHDCI Nets),To,,Notes
,,,PIN,,Component,Pin,
,,19,13,ctrl_i_segment9,Socket,,
,,20,45,ctrl_i_segment21,Socket,,
,,21,11,ctrl_i_segment10,Socket,,
,,22,43,ctrl_i_segment20,Socket,,
,,23,9,ctrl_i_segment11,Socket,,
,,24,41,ctrl_i_segment19,Socket,,
,,25,7,ctrl_i_segment12,Socket,,
,,26,39,ctrl_i_segment18,Socket,,
,,27,5,ctrl_i_segment13,Socket,,
,,28,37,ctrl_i_segment17,Socket,,
,,29,3,ctrl_i_segment14,Socket,,
,,30,35,ctrl_i_segment16,Socket,,
,,31,1,ctrl_i_segment15,Socket,,
,,VSS,,VSS,Socket,,
,,,,,,,
,VHDCI 5 PXIe 6571 D4,0,65,ctrl_i_segment63,Socket,,
,,1,31,ctrl_i_segment47,Socket,,
,,2,63,ctrl_i_segment62,Socket,,
,,3,29,ctrl_i_segment46,Socket,,
,,4,61,ctrl_i_segment61,Socket,,
,,5,27,ctrl_i_segment45,Socket,,
,,6,59,ctrl_i_segment60,Socket,,
,,7,25,ctrl_i_segment44,Socket,,
,,8,57,ctrl_i_segment59,Socket,,
,,9,23,ctrl_i_segment43,Socket,,
,,10,55,ctrl_i_segment58,Socket,,
,,11,21,ctrl_i_segment42,Socket,,
,,12,53,ctrl_i_segment57,Socket,,
,,13,19,ctrl_i_segment41,Socket,,
,,14,51,ctrl_i_segment56,Socket,,
,,15,17,ctrl_i_segment40,Socket,,
,,16,49,ctrl_i_segment55,Socket,,
,,17,15,ctrl_i_segment39,Socket,,
,,18,47,ctrl_i_segment54,Socket,,
,,19,13,ctrl_i_segment38,Socket,,
,,20,45,ctrl_i_segment53,Socket,,
,,21,11,ctrl_i_segment37,Socket,,
,,22,43,ctrl_i_segment52,Socket,,
,,23,9,ctrl_i_segment36,Socket,,
,,24,41,ctrl_i_segment51,Socket,,
,,25,7,ctrl_i_segment35,Socket,,
,,26,39,ctrl_i_segment50,Socket,,
,,27,5,ctrl_i_segment34,Socket,,
,,28,37,ctrl_i_segment49,Socket,,
,,29,3,ctrl_i_segment33,Socket,,
,,30,35,ctrl_i_segment48,Socket,,
,,31,1,ctrl_i_segment32,Socket,,
,,VSS,,VSS,Socket,,
,,,,,,,
,VHDCI 6 PXIe 6570 D0,0,65,ctrl_i_segment95,Socket,,
,,1,31,ctrl_i_segment64,Socket,,
,,2,63,ctrl_i_segment94,Socket,,
,,3,29,ctrl_i_segment65,Socket,,
,,4,61,ctrl_i_segment93,Socket,,
,,5,27,ctrl_i_segment66,Socket,,
,,6,59,ctrl_i_segment92,Socket,,
,,7,25,ctrl_i_segment67,Socket,,
,,8,57,ctrl_i_segment91,Socket,,
,,9,23,ctrl_i_segment68,Socket,,
,,10,55,ctrl_i_segment90,Socket,,
,,11,21,ctrl_i_segment69,Socket,,
,,12,53,ctrl_i_segment89,Socket,,
,,13,19,ctrl_i_segment70,Socket,,
,,14,51,ctrl_i_segment88,Socket,,
,,15,17,ctrl_i_segment71,Socket,,
,,16,49,ctrl_i_segment87,Socket,,
,,17,15,ctrl_i_segment72,Socket,,
,,18,47,ctrl_i_segment86,Socket,,
,,19,13,ctrl_i_segment73,Socket,,
,,20,45,ctrl_i_segment85,Socket,,
,,21,11,ctrl_i_segment74,Socket,,
,,22,43,ctrl_i_segment84,Socket,,
,,23,9,ctrl_i_segment75,Socket,,
,,24,41,ctrl_i_segment83,Socket,,
,,25,7,ctrl_i_segment76,Socket,,
,,26,39,ctrl_i_segment82,Socket,,
,,27,5,ctrl_i_segment77,Socket,,
,,28,37,ctrl_i_segment81,Socket,,
,,29,3,ctrl_i_segment78,Socket,,
,,30,35,ctrl_i_segment80,Socket,,
,,31,1,ctrl_i_segment79,Socket,,
,,VSS,,VSS,Socket,,
,,,,,,,
,,,,,,,
,Power Pins,,,VDD,1,,1.8 V
,,,,VSS,2,,0 V
,,,,V5V,3,,5 V
,"Analog Voltages
(from PXIe)",,,VSEL_SL_1,,,
,,,,VSEL_SL_0,,,
,,,,VSEL_BL_1,,,
,,,,VSEL_BL_0,,,
,,,,VREAD,,,
,,,,VSEL_WL,,,
,,,,VUNSEL_WL,,,
