Pin Designator,Net Name
1,bank1_addr[9]
2,VSS
3,bank1_addr[8]
4,VSS
5,bank1_addr[7]
6,VSS
7,bank1_addr[6]
8,VSS
9,bank1_addr[5]
10,VSS
11,bank1_addr[4]
12,VSS
13,bank1_addr[2]
14,VSS
15,bank1_addr[3]
16,VSS
17,ctrl_i_segment[45]
18,VSS
19,ctrl_i_segment[44]
20,VSS
21,bank1_addr[1]
22,VSS
23,ctrl_i_segment[43]
24,VSS
25,ctrl_i_segment[42]
26,VSS
27,ctrl_i_segment[41]
28,VSS
29,ctrl_i_segment[40]
30,RESERVED
31,ctrl_i_segment[39]
32,VSS
33,RESERVED
34,VSS
35,bank1_addr[10]
36,VSS
37,bank1_addr[11]
38,VSS
39,bank0_write_done_all
40,VSS
41,bank0_init_done
42,VSS
43,bank0_init_pad_in[0]
44,VSS
45,bank0_init_pad_in[1]
46,VSS
47,bank0_init_pad_in[2]
48,VSS
49,bank0_init_pad_in[3]
50,VSS
51,bank1_addr[0]
52,VSS
53,ctrl_i_segment[32]
54,VSS
55,ctrl_i_segment[33]
56,VSS
57,ctrl_i_segment[34]
58,VSS
59,ctrl_i_segment[35]
60,RESERVED
61,ctrl_i_segment[36]
62,VSS
63,ctrl_i_segment[37]
64,VSS
65,ctrl_i_segment[38]
66,VSS
67,RESERVED
68,VSS
