Pin Designator,Net Name
1,ctrl_i_segment[18]
2,VDD
3,VSS
4,VSS
5,ctrl_i_segment[21]
6,ctrl_i_segment[22]
7,ctrl_i_segment[23]
8,ctrl_i_segment[24]
9,ctrl_i_segment[25]
10,ctrl_i_segment[26]
11,ctrl_i_segment[27]
12,ctrl_i_segment[28]
13,ctrl_i_segment[29]
14,ctrl_i_segment[30]
15,ctrl_i_segment[31]
16,ctrl_i_segment[32]
17,ctrl_i_segment[33]
18,ctrl_i_segment[34]
19,ctrl_i_segment[35]
20,ctrl_i_segment[36]
21,ctrl_i_segment[37]
22,ctrl_i_segment[38]
23,ctrl_i_segment[39]
24,ctrl_i_segment[40]
25,ctrl_i_segment[41]
26,ctrl_i_segment[42]
27,ctrl_i_segment[43]
28,bank1_addr[1]
29,VSS
30,VSS
31,ctrl_i_segment[45]
32,ctrl_i_segment[44]
