Pin Designator,Net Name
1,ctrl_i_segment[72]
2,VDD
3,VSS
4,VSS
5,ctrl_i_segment[71]
6,ctrl_i_segment[70]
7,ctrl_i_segment[69]
8,ctrl_i_segment[68]
9,ctrl_i_segment[67]
10,ctrl_i_segment[66]
11,ctrl_i_segment[65]
12,ctrl_i_segment[64]
13,ctrl_i_segment[63]
14,ctrl_i_segment[62]
15,ctrl_i_segment[61]
16,ctrl_i_segment[60]
17,ctrl_i_segment[59]
18,ctrl_i_segment[57]
19,ctrl_i_segment[58]
20,ctrl_i_segment[56]
21,ctrl_i_segment[55]
22,ctrl_i_segment[54]
23,ctrl_i_segment[53]
24,ctrl_i_segment[52]
25,ctrl_i_segment[51]
26,ctrl_i_segment[50]
27,ctrl_i_segment[49]
28,ctrl_i_segment[48]
29,VSS
30,VSS
31,ctrl_i_segment[47]
32,ctrl_i_segment[46]
