Pin Designator,Net Name
1,ctrl_i_segment[78]
2,VSS
3,ctrl_i_segment[77]
4,VSS
5,ctrl_i_segment[76]
6,VSS
7,ctrl_i_segment[75]
8,VSS
9,ctrl_i_segment[74]
10,VSS
11,ctrl_i_segment[73]
12,VSS
13,ctrl_i_segment[72]
14,VSS
15,ctrl_i_segment[71]
16,VSS
17,ctrl_i_segment[70]
18,VSS
19,ctrl_i_segment[69]
20,VSS
21,ctrl_i_segment[68]
22,VSS
23,ctrl_i_segment[67]
24,VSS
25,ctrl_i_segment[66]
26,VSS
27,ctrl_i_segment[65]
28,VSS
29,ctrl_i_segment[64]
30,RESERVED
31,ctrl_i_segment[63]
32,VSS
33,RESERVED
34,VSS
35,ctrl_i_segment[79]
36,VSS
37,ctrl_i_segment[80]
38,VSS
39,ctrl_i_segment[81]
40,VSS
41,ctrl_i_segment[82]
42,VSS
43,ctrl_i_segment[83]
44,VSS
45,ctrl_i_segment[84]
46,VSS
47,ctrl_i_segment[85]
48,VSS
49,ctrl_i_segment[86]
50,VSS
51,ctrl_i_segment[87]
52,VSS
53,ctrl_i_segment[88]
54,VSS
55,ctrl_i_segment[89]
56,VSS
57,ctrl_i_segment[90]
58,VSS
59,ctrl_i_segment[91]
60,RESERVED
61,ctrl_i_segment[92]
62,VSS
63,ctrl_i_segment[93]
64,VSS
65,ctrl_i_segment[94]
66,VSS
67,RESERVED
68,VSS
